,...1,country,continent,area_in_pa_cat_1,area_in_pa_cat_2,area_in_pa_cat_3,area_in_pa_cat_4,total_pa_area,area_in_country_cat_1,area_in_country_cat_2,area_in_country_cat_3,area_in_country_cat_4,total_country_area,,y,x
31,1,Nigeria,Africa,0,0,48986.77004,86151.27125,138762.6181,0,0,118041.7031,776099.125,908259.4375,,0.620853602,0.854490571
27,1,Niue,Oceania,0,0,0,0,47.73812816,0,0,0,0,249.23172,,0,0
28,1,Norfolk Island,Oceania,0,-2.37E+38,0,0,0.057904474,0,0,0,0,48.87251282,,0,0
107,1,Northern Mariana Islands,Oceania,0,0,0,0.277716469,0.441110831,0,0,23.05498123,135.208252,236.8893433,,0.629584335,0.570765447
33,1,Norway,Europe,-3.40E+38,-1.57E+39,28636.8067,1746.708842,57237.31724,0,0,157681.2969,61215.66016,318285.25,,0.030516959,0.192329554
40,1,Paraguay,South America,0,0,10110.43495,2563.703958,123042.1825,0,0,115717.1953,83867.875,398180.5938,,0.020835976,0.210627731
41,1,Peru,South America,-2.11E+38,-7.38E+38,27537.29919,15849.31526,285959.6281,0,0,328924.3125,227719.3125,1290455.75,,0.05542501,0.176464255
44,1,Puerto Rico,South America,0,0,33.1754058,590.6769644,677.3729717,0,0,17.07409096,8545.108398,9138.40625,,0.872011416,0.935076442
45,1,Russia,Asia,0,-3.37E+39,382110.4738,139670.4137,2002003.797,0,0,3768832.75,2578037.5,16816626,,0.069765309,0.153302898
56,1,Sao Tome and Principe,Africa,0,0,209.5025482,25.47823143,249.5433807,0,0,403.5182495,500.4312134,1142.074097,,0.102099408,0.438177536
87,1,Solomon Islands,Oceania,0,-1.64E+38,0,0,15.59179485,0,0,4047.509766,978.3518066,26977.73633,,0,0.036265156
97,1,Sri Lanka,Asia,0,0,7371.246216,12440.21362,21032.20958,0,0,7842.539551,54959.09375,66026.90625,,0.591483913,0.832374207
70,1,St. Vincent and the Grenadines,North America,0,0,54.416008,63.96124068,118.3785181,0,0,52.87921524,267.135498,342.0577698,,0.540311213,0.780966029
36,1,Suriname,South America,0,0,821.8726902,46.39418602,30982.8478,0,0,11124.01465,3136.924072,144978.0781,,0.001497415,0.02163723
80,1,Swaziland,Africa,0,0,54.59690022,656.6299548,720.1440759,0,0,446.4116821,16560.59375,17076.12695,,0.911803591,0.969809711
49,1,Sweden,Europe,-1.83E+37,-8.71E+39,31909.09428,11432.72308,144142.8501,0,0,158186.3125,182220,442510.3125,,0.079315228,0.411787013
59,1,Taiwan,Asia,0,0,5740.609646,1114.344826,7355.423211,0,0,9773.027344,24579.41211,36115.92578,,0.151499757,0.680569903
51,1,Tajikistan,Asia,0,0,3308.417627,1174.267602,52576.87485,0,0,30271.25,40661.19922,141873.25,,0.022334298,0.286602296
61,1,"Tanzania, United Republic of",Africa,0,-1.69E+38,255743.648,49403.13883,515026.9615,0,0,381445.5625,346928.7188,941258.4375,,0.095923403,0.368579664
50,1,Thailand,Asia,0,-2.44E+38,48645.10352,40843.86499,104347.7951,0,0,62704.92578,430024.6875,511880.4375,,0.391420489,0.840088146
55,1,Togo,Africa,0,0,2197.308902,5844.703088,8043.236842,0,0,6455.277832,50365.66406,57104.90625,,0.726660572,0.881984883
54,1,Tonga,Oceania,0,0,0.045969043,1.183239073,1.321945316,0,0,87.11994171,209.2973175,455.9284973,,0.895074145,0.459057327
57,1,Tunisia,Africa,0,0,6252.639657,5769.539999,18806.79079,0,0,28456.27734,91422.67969,154874.8125,,0.306779613,0.590300503
58,1,Turkey,Asia,0,0,400.3058746,739.9398497,1631.50829,0,0,134420.4063,626668.375,776838.0625,,0.453531161,0.806691131
