,...1,country,continent,urban_and_agri_area_country_cat_1,urban_and_agri_area_country_cat_2,urban_and_agri_area_country_cat_3,urban_and_agri_area_country_cat_4,urban_area_in_country_cat_1,urban_area_in_country_cat_2,urban_area_in_country_cat_3,urban_area_in_country_cat_4,agri_area_in_country_cat_1,agri_area_in_country_cat_2,agri_area_in_country_cat_3,agri_area_in_country_cat_4,total_country_area,,y,x,
122,1,Kyrgyzstan,Asia,NA,NA,NA,21354.81641,NA,NA,NA,49933.125,NA,NA,NA,97902.10156,198687.2969,,0.218124188,0.107479526,0.251315136
123,1,Laos,Asia,NA,NA,NA,31343.98047,NA,NA,NA,64338.58984,NA,NA,NA,127504.0156,229650.8906,,0.245827399,0.136485343,0.280158242
124,1,Latvia,Europe,NA,NA,NA,36930.76563,NA,NA,NA,58699.12109,NA,NA,NA,40409.54297,64188.35156,,0.913911985,0.575349962,0.914482451
125,1,Lebanon,Asia,NA,NA,NA,3092.580811,NA,NA,NA,9440.316406,NA,NA,NA,3399.808594,10182.29492,,0.9096338,0.303721394,0.927130522
126,1,Lesotho,Africa,NA,NA,NA,10726.82129,NA,NA,NA,23114.12305,NA,NA,NA,13293.86914,30441.33398,,0.806899871,0.352376847,0.759300597
127,1,Liberia,Africa,NA,NA,NA,5358.539551,NA,NA,NA,35471.25,NA,NA,NA,44468.31641,95991.78125,,0.120502416,0.055822899,0.369523823
128,1,Libya,Africa,NA,NA,NA,19465.28906,NA,NA,NA,67613.29688,NA,NA,NA,32375.5957,1614214.125,,0.601233387,0.012058678,0.041886201
129,1,Liechtenstein,Europe,NA,NA,NA,135.278244,NA,NA,NA,173.4792023,NA,NA,NA,136.977829,175.4374542,,0.987592262,0.771091011,0.988837891
130,1,Lithuania,Europe,NA,NA,NA,22219.14648,NA,NA,NA,63210.62109,NA,NA,NA,22918.61328,64569.76953,,0.969480405,0.344110667,0.9789507
131,1,Luxembourg,Europe,NA,NA,NA,1356.005127,NA,NA,NA,2560.445557,NA,NA,NA,1360.71521,2565.579346,,0.996538524,0.528537591,0.997998975
133,1,Macedonia,Europe,NA,NA,NA,10719.37012,NA,NA,NA,21435.22852,NA,NA,NA,13306.11523,25350,,0.805597271,0.422854837,0.845571145
134,1,Madagascar,Africa,NA,NA,NA,76650.00781,NA,NA,NA,148956.5938,NA,NA,NA,265800.6563,592317.625,,0.288374035,0.129406934,0.251480941
135,1,Malawi,Africa,NA,NA,NA,15249.4707,NA,NA,NA,73659.08594,NA,NA,NA,27764.91602,118423.4688,,0.549235254,0.128770681,0.621997368
136,1,Malaysia,Asia,NA,NA,NA,47427.24609,NA,NA,NA,127066.4141,NA,NA,NA,164683.1875,328482.3438,,0.287990819,0.144382939,0.386828749
137,1,Maldives,Asia,NA,NA,NA,0,NA,NA,NA,0.133063957,NA,NA,NA,0.15097484,33.62194824,,0,0,0.003957652
138,1,Mali,Africa,NA,NA,NA,71926.08594,NA,NA,NA,235086.6563,NA,NA,NA,193347.4063,1251148.25,,0.3720044,0.05748806,0.187896723
